0,1,"Tallapoosa County, AL","1.093 (0.989,~1.196)","0.752 (0.217,~0.910)","8,277 (20.4)",855,"40,497",9.24\%
442,1,"Seneca County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",348 (0.6),214,"55,207",1.40\%
443,1,"Shelby County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",464 (1.0),194,"48,627",2.06\%
444,1,"Tuscarawas County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)","1,627 (1.8)",782,"92,176",1.79\%
445,1,"Union County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",116 (0.2),251,"57,835",0.40\%
446,1,"Van Wert County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",116 (0.4),71,"28,281",1.41\%
447,1,"Vinton County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",232 (1.8),31,"13,139",6.45\%
448,1,"Wyandot County, OH","3.557 (3.378,~3.739)","1.017 (0.956,~1.081)",929 (4.2),146,"21,935",5.48\%
449,1,"Allen Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,615 (14.1)","1,276","25,605",2.27\%
450,1,"Assumption Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,493 (11.2)",584,"22,300",3.42\%
451,1,"Avoyelles Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,990 (9.9)","1,070","40,462",2.99\%
452,1,"Beauregard Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,244 (6.0)",833,"37,253",2.16\%
453,1,"Bienville Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,740 (28.1)",381,"13,308",7.87\%
454,1,"Caldwell Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",249 (2.5),218,"9,960",0.92\%
455,1,"Catahoula Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",623 (6.5),293,"9,608",1.71\%
456,1,"Claiborne Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,371 (8.6)",274,"15,944",4.01\%
457,1,"Concordia Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,122 (5.7)",327,"19,572",2.75\%
458,1,"De Soto Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,241 (11.8)",722,"27,436",3.60\%
459,1,"East Carroll Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",124 (1.8),519,"7,037",0.19\%
460,1,"East Feliciana Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","4,488 (23.3)",587,"19,305",6.13\%
461,1,"Evangeline Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",872 (2.6),895,"33,443",0.78\%
462,1,"Franklin Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,119 (10.5)",934,"20,156",1.82\%
463,1,"Grant Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,244 (10.0)",306,"22,482",5.88\%
464,1,"Iberville Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","5,985 (18.3)","1,237","32,721",3.88\%
465,1,"Jackson Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,244 (14.1)",376,"15,902",4.79\%
466,1,"Jefferson Davis Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,491 (11.1)","1,024","31,582",2.73\%
467,1,"LaSalle Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",249 (1.7),305,"14,917",0.66\%
468,1,"Lincoln Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,865 (8.2)",797,"47,196",3.89\%
469,1,"Madison Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",748 (6.7),613,"11,161",0.98\%
470,1,"Morehouse Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,371 (5.4)",529,"25,398",2.08\%
471,1,"Natchitoches Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,119 (5.5)",773,"38,659",2.20\%
472,1,"Pointe Coupee Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,990 (18.2)",791,"21,940",4.05\%
473,1,"Red River Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,496 (17.7)",238,"8,477",5.04\%
474,1,"Richland Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",872 (4.3),601,"20,192",1.16\%
475,1,"Sabine Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,246 (5.2)",645,"24,032",1.55\%
476,1,"St. Helena Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",249 (2.4),264,"10,262",0.76\%
477,1,"St. James Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,990 (19.0)",716,"21,037",4.47\%
478,1,"St. Martin Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","5,611 (10.5)","1,711","53,621",2.63\%
479,1,"St. Mary Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","6,733 (13.5)","1,597","49,774",3.38\%
480,1,"Union Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","4,114 (18.4)",706,"22,330",4.67\%
481,1,"Vermilion Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","2,992 (5.0)","1,582","59,830",1.52\%
482,1,"Vernon Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","3,491 (7.1)",768,"48,860",3.65\%
483,1,"Webster Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,745 (4.5)",893,"38,798",1.57\%
484,1,"West Baton Rouge Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","4,613 (17.5)",720,"26,427",5.14\%
485,1,"West Carroll Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",748 (6.8),293,"10,982",2.05\%
486,1,"West Feliciana Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)","1,995 (12.9)",347,"15,460",4.61\%
487,1,"Winn Parish, LA","3.373 (3.241,~3.506)","1.018 (0.624,~1.114)",872 (6.2),423,"14,134",1.65\%
488,1,"Orangeburg County, SC","1.138 (0.980,~1.309)","1.028 (0.884,~1.162)","9,776 (11.2)","2,420","86,934",2.64\%
489,1,"Arkansas County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.7),217,"17,769",0.46\%
490,1,"Ashley County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",658 (3.3),326,"20,046",1.53\%
491,1,"Boone County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.4),211,"37,480",0.47\%
492,1,"Bradley County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (3.6),190,"10,897",1.58\%
493,1,"Carroll County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",921 (3.3),354,"28,223",1.98\%
494,1,"Chicot County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,053 (10.1)",733,"10,438",1.09\%
495,1,"Clay County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",526 (3.5),136,"14,847",2.94\%
496,1,"Cleburne County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",658 (2.6),200,"24,965",2.50\%
497,1,"Cleveland County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (3.3),97,"8,018",2.06\%
498,1,"Columbia County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,448 (6.2)",215,"23,537",5.12\%
499,1,"Conway County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (1.9),152,"20,891",1.97\%
500,1,"Crawford County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",526 (0.8),627,"63,406",0.64\%
501,1,"Cross County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",526 (3.2),195,"16,676",2.05\%
502,1,"Desha County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (2.3),194,"11,512",1.03\%
503,1,"Drew County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (2.2),203,"18,328",1.48\%
504,1,"Faulkner County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",790 (0.6),"1,304","124,806",0.46\%
505,1,"Franklin County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (1.5),126,"17,810",1.59\%
506,1,"Greene County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.3),476,"45,325",0.21\%
507,1,"Howard County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",526 (3.9),340,"13,341",1.18\%
508,1,"Izard County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (1.0),53,"13,593",1.89\%
509,1,"Jackson County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.8),112,"16,811",0.89\%
510,1,"Jefferson County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","5,268 (7.7)","1,534","68,114",2.61\%
511,1,"Lafayette County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (3.9),54,"6,682",3.70\%
512,1,"Lee County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,053 (11.7)",894,"8,985",0.89\%
513,1,"Lincoln County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,580 (11.8)","1,219","13,383",0.98\%
514,1,"Little River County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (1.1),181,"12,326",0.55\%
515,1,"Logan County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.6),261,"21,737",0.38\%
516,1,"Lonoke County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (0.4),512,"73,657",0.39\%
517,1,"Madison County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (1.6),270,"16,481",0.74\%
518,1,"Mississippi County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,843 (4.5)","1,014","41,239",1.38\%
519,1,"Nevada County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,185 (14.2)",142,"8,326",6.34\%
520,1,"Newton County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",790 (10.1),103,"7,805",5.83\%
521,1,"Ouachita County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (1.1),100,"23,606",2.00\%
522,1,"Phillips County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,053 (5.8)",318,"18,029",2.52\%
523,1,"Pike County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (1.2),101,"10,673",0.99\%
524,1,"Poinsett County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (1.6),272,"23,974",1.10\%
525,1,"Polk County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (0.7),142,"20,049",0.70\%
526,1,"Pope County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,317 (2.1)","1,313","64,000",0.76\%
527,1,"Randolph County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (2.2),213,"17,948",1.41\%
528,1,"St. Francis County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",395 (1.6),"1,209","25,439",0.25\%
529,1,"Saline County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",790 (0.7),"1,046","121,421",0.57\%
530,1,"Sevier County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,317 (7.7)",989,"17,139",1.01\%
531,1,"Sharp County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",658 (3.8),113,"17,366",4.42\%
532,1,"Stone County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",131 (1.1),69,"12,457",1.45\%
533,1,"Union County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","2,239 (5.7)",499,"39,126",3.41\%
534,1,"Van Buren County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (1.6),53,"16,603",3.77\%
535,1,"White County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)",263 (0.3),322,"78,727",0.62\%
536,1,"Yell County, AR","3.130 (2.228,~3.489)","1.030 (0.330,~1.166)","1,843 (8.6)","1,066","21,535",1.31\%
537,1,"Anson County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",316 (1.3),328,"24,877",0.91\%
538,1,"Ashe County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",105 (0.4),157,"27,109",0.64\%
539,1,"Beaufort County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (0.4),406,"47,079",0.49\%
540,1,"Bertie County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",527 (2.8),272,"19,026",1.84\%
541,1,"Bladen County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",737 (2.2),623,"33,190",1.12\%
542,1,"Burke County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,951 (3.3)","1,655","90,382",1.69\%
543,1,"Caldwell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,475 (1.8)","1,215","82,029",1.15\%
544,1,"Camden County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (2.0),72,"10,710",2.78\%
545,1,"Carteret County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",632 (0.9),344,"69,524",1.74\%
546,1,"Caswell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (0.9),195,"22,698",1.03\%
547,1,"Cherokee County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",421 (1.5),273,"28,383",1.47\%
548,1,"Chowan County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",105 (0.8),157,"14,029",0.64\%
549,1,"Cleveland County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,108 (2.2)","1,178","97,645",1.70\%
550,1,"Columbus County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","5,060 (9.1)",903,"55,655",5.32\%
551,1,"Davie County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",632 (1.5),422,"42,733",1.42\%
552,1,"Duplin County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","5,060 (8.6)","2,013","58,856",2.38\%
553,1,"Edgecombe County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,370 (2.6)",646,"52,005",2.01\%
554,1,"Franklin County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,741 (4.1)",866,"67,560",3.00\%
555,1,"Gates County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (1.8),46,"11,573",4.35\%
556,1,"Granville County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,846 (4.7)","1,245","60,115",2.17\%
557,1,"Greene County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",316 (1.5),331,"21,012",0.91\%
558,1,"Halifax County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",632 (1.3),700,"50,574",0.86\%
559,1,"Harnett County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","4,111 (3.1)","1,288","134,214",3.03\%
560,1,"Haywood County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,265 (2.0)",432,"61,971",2.78\%
561,1,"Hertford County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,159 (4.9)",344,"23,659",3.20\%
562,1,"Hoke County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",948 (1.7),717,"54,764",1.26\%
563,1,"Iredell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,897 (1.1)","1,820","178,435",0.99\%
564,1,"Jackson County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",527 (1.2),447,"43,327",1.12\%
565,1,"Jones County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",421 (4.4),93,"9,637",4.30\%
566,1,"Lee County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,159 (1.9)","1,289","61,452",0.85\%
567,1,"Lenoir County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,265 (2.3)",573,"55,976",2.09\%
568,1,"Lincoln County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",948 (1.1),848,"83,770",1.06\%
569,1,"McDowell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,475 (3.2)",683,"45,507",2.05\%
570,1,"Macon County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",316 (0.9),463,"35,285",0.65\%
571,1,"Martin County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",632 (2.8),258,"22,671",2.33\%
572,1,"Mitchell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (1.4),116,"15,000",1.72\%
573,1,"Montgomery County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,475 (5.4)",644,"27,271",2.17\%
574,1,"Northampton County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,686 (8.6)",350,"19,676",4.57\%
575,1,"Pasquotank County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,108 (5.3)",401,"39,639",4.99\%
576,1,"Pender County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",316 (0.5),658,"62,162",0.46\%
577,1,"Perquimans County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (1.6),86,"13,422",2.33\%
578,1,"Person County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (0.5),223,"39,507",0.90\%
579,1,"Polk County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",527 (2.6),163,"20,611",3.07\%
580,1,"Rockingham County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",843 (0.9),549,"90,690",1.46\%
581,1,"Rutherford County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,475 (2.2)",746,"66,826",1.88\%
582,1,"Sampson County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,475 (2.3)","1,508","63,626",0.93\%
583,1,"Scotland County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (0.6),343,"34,810",0.58\%
584,1,"Stanly County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","2,741 (4.4)","1,064","62,075",2.44\%
585,1,"Swain County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",210 (1.5),119,"14,245",1.68\%
586,1,"Transylvania County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",105 (0.3),137,"34,215",0.73\%
587,1,"Tyrrell County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",105 (2.6),98,"4,131",1.02\%
588,1,"Vance County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","4,322 (9.7)",773,"44,582",5.30\%
589,1,"Warren County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",737 (3.7),256,"19,807",2.73\%
590,1,"Washington County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",421 (3.6),133,"11,859",3.01\%
591,1,"Wilkes County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)","1,159 (1.7)",834,"68,557",1.32\%
592,1,"Yadkin County, NC","3.679 (3.441,~3.860)","1.032 (0.868,~1.094)",632 (1.7),541,"37,543",1.11\%
593,1,"Amelia County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (1.8),79,"13,013",2.53\%
594,1,"Augusta County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",458 (0.6),276,"75,457",1.45\%
595,1,"Botetourt County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",801 (2.4),214,"33,277",3.27\%
596,1,"Brunswick County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (1.4),228,"16,384",0.88\%
597,1,"Charles City County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",572 (8.3),52,"6,941",9.62\%
598,1,"Dinwiddie County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",801 (2.8),219,"28,529",3.20\%
599,1,"Essex County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (1.0),102,"10,919",0.98\%
600,1,"Fauquier County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,030 (1.5)",616,"70,675",1.46\%
601,1,"Floyd County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (1.5),75,"15,795",2.67\%
602,1,"Frederick County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,030 (1.2)",681,"88,355",1.32\%
603,1,"Gloucester County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (0.6),160,"37,349",1.25\%
604,1,"Goochland County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",801 (3.4),163,"23,244",4.29\%
605,1,"Grayson County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",572 (3.7),157,"15,631",3.18\%
606,1,"Greensville County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,260 (10.8)",482,"11,627",2.28\%
607,1,"Halifax County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (0.3),155,"34,120",0.65\%
608,1,"Henry County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",801 (1.6),588,"50,953",1.19\%
609,1,"King and Queen County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (1.6),42,"7,042",2.38\%
610,1,"King George County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",458 (1.7),144,"26,575",2.78\%
611,1,"King William County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (1.4),87,"16,939",2.30\%
612,1,"Lee County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (0.5),115,"23,541",0.87\%
613,1,"Louisa County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (0.6),182,"36,778",1.10\%
614,1,"Lunenburg County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (0.9),62,"12,086",1.61\%
615,1,"Mecklenburg County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","3,665 (12.0)",444,"30,650",7.21\%
616,1,"Middlesex County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (1.1),41,"10,769",2.44\%
617,1,"New Kent County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",114 (0.5),128,"22,391",0.78\%
618,1,"Northampton County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","3,322 (28.3)",296,"11,735",9.80\%
619,1,"Northumberland County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (1.9),72,"12,147",2.78\%
620,1,"Nottoway County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,489 (9.7)",182,"15,420",7.14\%
621,1,"Orange County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (0.9),231,"36,644",1.30\%
622,1,"Page County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","2,863 (12.0)",345,"23,933",7.25\%
623,1,"Patrick County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",458 (2.6),157,"17,673",2.55\%
624,1,"Pittsylvania County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (0.4),487,"60,949",0.41\%
625,1,"Powhatan County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",458 (1.6),147,"29,189",2.72\%
626,1,"Prince Edward County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,145 (5.0)",410,"22,950",2.44\%
627,1,"Rappahannock County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (3.2),43,"7,252",4.65\%
628,1,"Russell County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",229 (0.9),115,"26,748",1.74\%
629,1,"Scott County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (1.6),91,"21,534",3.30\%
630,1,"Shenandoah County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","5,040 (11.6)",717,"43,497",6.14\%
631,1,"Smyth County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (1.1),148,"30,472",2.03\%
632,1,"Southampton County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)","1,489 (8.5)",267,"17,586",4.87\%
633,1,"Warren County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",687 (1.7),355,"40,003",1.69\%
634,1,"Washington County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",572 (1.1),229,"54,402",2.18\%
635,1,"Westmoreland County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (1.9),211,"17,830",1.42\%
636,1,"Wise County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (0.9),130,"38,012",2.31\%
637,1,"Wythe County, VA","0.929 (0.860,~1.014)","1.044 (0.983,~1.094)",343 (1.2),115,"28,754",2.61\%
638,1,"Adams County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","3,564 (11.4)",623,"31,192",4.01\%
639,1,"Alcorn County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)",712 (1.9),428,"36,925",1.17\%
640,1,"Amite County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)",855 (6.9),232,"12,326",2.59\%
641,1,"Attala County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","3,564 (19.4)",522,"18,365",4.79\%
642,1,"Bolivar County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","4,847 (15.5)","1,113","31,333",3.05\%
643,1,"Calhoun County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,283 (8.9)",418,"14,436",2.15\%
644,1,"Carroll County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,568 (15.8)",261,"9,911",4.21\%
645,1,"Chickasaw County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","2,708 (15.8)",462,"17,171",4.11\%
646,1,"Choctaw County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)",570 (6.9),134,"8,278",2.99\%
647,1,"Claiborne County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,853 (20.6)",407,"9,002",3.19\%
648,1,"Clarke County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","3,706 (23.8)",327,"15,604",7.95\%
649,1,"Clay County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,995 (10.3)",396,"19,386",3.54\%
650,1,"Coahoma County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,853 (8.2)",760,"22,628",1.71\%
651,1,"Covington County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)","1,853 (9.8)",612,"18,853",2.12\%
652,1,"Franklin County, MS","3.376 (3.246,~3.512)","1.058 (1.021,~1.101)",285 (3.7),127,"7,788",1.57\%
