,County,Cluster,R_0 (std),R_5/28 (std),# (\%) infected as predicted,Measured cases,Fatality rate (measured death/cases)
288,"Angelina County, TX",5,3.729 (0.095),1.162 (0.027),1563 (1.8),1647,2.13\%
289,"Bastrop County, TX",5,3.729 (0.095),1.162 (0.027),803 (0.9),1296,1.39\%
290,"Bowie County, TX",5,3.729 (0.095),1.162 (0.027),1339 (1.4),708,4.24\%
291,"Brazos County, TX",5,3.729 (0.095),1.162 (0.027),1875 (0.8),3877,1.08\%
292,"Burnet County, TX",5,3.729 (0.095),1.162 (0.027),312 (0.7),542,1.29\%
293,"Caldwell County, TX",5,3.729 (0.095),1.162 (0.027),1027 (2.4),1070,2.15\%
294,"Coryell County, TX",5,3.729 (0.095),1.162 (0.027),223 (0.3),612,0.82\%
295,"Ector County, TX",5,3.729 (0.095),1.162 (0.027),2188 (1.3),3287,1.49\%
296,"Fayette County, TX",5,3.729 (0.095),1.162 (0.027),580 (2.3),367,3.54\%
297,"Grayson County, TX",5,3.729 (0.095),1.162 (0.027),491 (0.4),1005,1.09\%
298,"Harrison County, TX",5,3.729 (0.095),1.162 (0.027),982 (1.5),620,3.55\%
299,"Hays County, TX",5,3.729 (0.095),1.162 (0.027),1429 (0.6),4297,0.74\%
300,"Johnson County, TX",5,3.729 (0.095),1.162 (0.027),1071 (0.6),1541,1.56\%
301,"Kaufman County, TX",5,3.729 (0.095),1.162 (0.027),848 (0.7),1816,1.05\%
302,"Lee County, TX",5,3.729 (0.095),1.162 (0.027),357 (2.1),152,5.26\%
303,"Liberty County, TX",5,3.729 (0.095),1.162 (0.027),1116 (1.3),842,2.97\%
304,"Nacogdoches County, TX",5,3.729 (0.095),1.162 (0.027),1607 (2.4),1023,3.52\%
305,"Orange County, TX",5,3.729 (0.095),1.162 (0.027),714 (0.9),1021,1.57\%
306,"Potter County, TX",5,3.729 (0.095),1.162 (0.027),1741 (1.5),3505,1.11\%
307,"Smith County, TX",5,3.729 (0.095),1.162 (0.027),759 (0.3),2309,0.74\%
308,"Taylor County, TX",5,3.729 (0.095),1.162 (0.027),848 (0.6),1082,1.76\%
309,"Victoria County, TX",5,3.729 (0.095),1.162 (0.027),1250 (1.4),3203,0.87\%
310,"Wichita County, TX",5,3.729 (0.095),1.162 (0.027),401 (0.3),902,1.00\%
311,"Wood County, TX",5,3.729 (0.095),1.162 (0.027),223 (0.5),291,1.72\%
312,"Jefferson County, TX",5,0.981 (0.081),1.092 (0.039),3843 (1.5),5491,1.22\%
313,"Accomack County, VA",5,0.992 (0.054),0.980 (0.035),1175 (3.6),1079,1.39\%
314,"Alleghany County, VA",5,0.992 (0.054),0.980 (0.035),235 (1.6),56,5.36\%
315,"Amherst County, VA",5,0.992 (0.054),0.980 (0.035),0 (0.0),114,0.00\%
316,"Bedford County, VA",5,0.992 (0.054),0.980 (0.035),470 (0.6),299,2.01\%
317,"Buckingham County, VA",5,0.992 (0.054),0.980 (0.035),470 (2.8),596,1.01\%
318,"Campbell County, VA",5,0.992 (0.054),0.980 (0.035),156 (0.3),151,1.32\%
319,"Caroline County, VA",5,0.992 (0.054),0.980 (0.035),313 (1.0),191,2.09\%
320,"Carroll County, VA",5,0.992 (0.054),0.980 (0.035),1097 (3.7),311,4.50\%
321,"Culpeper County, VA",5,0.992 (0.054),0.980 (0.035),940 (1.8),951,1.26\%
322,"Fluvanna County, VA",5,0.992 (0.054),0.980 (0.035),627 (2.3),174,4.60\%
323,"Franklin County, VA",5,0.992 (0.054),0.980 (0.035),78 (0.1),160,0.62\%
324,"Greene County, VA",5,0.992 (0.054),0.980 (0.035),156 (0.8),138,1.45\%
325,"Isle of Wight County, VA",5,0.992 (0.054),0.980 (0.035),705 (1.9),338,2.66\%
326,"Madison County, VA",5,0.992 (0.054),0.980 (0.035),78 (0.6),61,1.64\%
327,"Prince George County, VA",5,0.992 (0.054),0.980 (0.035),156 (0.4),334,0.60\%
328,"Pulaski County, VA",5,0.992 (0.054),0.980 (0.035),235 (0.7),74,4.05\%
329,"Rockingham County, VA",5,0.992 (0.054),0.980 (0.035),1332 (1.6),901,1.89\%
330,"Surry County, VA",5,0.992 (0.054),0.980 (0.035),156 (2.4),37,5.41\%
331,"Sussex County, VA",5,0.992 (0.054),0.980 (0.035),705 (6.3),277,3.25\%
332,"Suffolk city, VA",5,0.992 (0.054),0.980 (0.035),3841 (4.2),1092,4.49\%
333,"Calumet County, WI",5,3.507 (0.120),0.936 (0.029),178 (0.4),256,0.78\%
334,"Columbia County, WI",5,3.507 (0.120),0.936 (0.029),89 (0.2),224,0.45\%
335,"Eau Claire County, WI",5,3.507 (0.120),0.936 (0.029),268 (0.3),503,0.60\%
336,"Fond du Lac County, WI",5,3.507 (0.120),0.936 (0.029),536 (0.5),560,1.07\%
337,"Grant County, WI",5,3.507 (0.120),0.936 (0.029),1250 (2.4),328,4.27\%
338,"La Crosse County, WI",5,3.507 (0.120),0.936 (0.029),89 (0.1),821,0.12\%
339,"Monroe County, WI",5,3.507 (0.120),0.936 (0.029),89 (0.2),222,0.45\%
340,"Outagamie County, WI",5,3.507 (0.120),0.936 (0.029),1161 (0.6),1102,1.18\%
341,"Rock County, WI",5,3.507 (0.120),0.936 (0.029),2322 (1.4),1366,1.90\%
342,"St. Croix County, WI",5,3.507 (0.120),0.936 (0.029),178 (0.2),447,0.45\%
343,"Sauk County, WI",5,3.507 (0.120),0.936 (0.029),268 (0.4),386,0.78\%
344,"Sheboygan County, WI",5,3.507 (0.120),0.936 (0.029),446 (0.4),609,0.82\%
345,"Washington County, WI",5,3.507 (0.120),0.936 (0.029),1965 (1.4),880,2.50\%
